text;label
L’entreprise a l’obligation de vérifier que les garanties du contrat Socle Santé demandées, ajoutées à celles éventuellement souscrites auprès d’autres;Null
organismes assureurs, sont conformes à la Convention Collective dont elle relève, et/ou le cas échéant au régime qu’elle a mis en place par accord collectif,;Null
référendum ou décision unilatérale de l’employeur.;Null
Les prestations exprimées en pourcentage de la base de remboursement (BR) de la sécurité sociale ou en pourcentage des frais réels (FR) ou en pourcentage;Null
du plafond mensuel de la Sécurité sociale (PMSS) ou selon le ticket modérateur(TM) ou en euros, s'ajoutent aux remboursements de la Sécurité sociale (RSS);Null
sauf lorsque le contraire est précisé.;Null
Les prestations sont versées dans la limite des frais réellement engagés et plafonnées aux honoraires limites de facturation en dentaire.;Null
Hospitalisation (y compris Maternité) Socle Renfort 1 Renfort 2 Renfort 3;hospitalisation
Honoraires;hospitalisation
Médecins ayant adhéré à un dispositif de pratique tarifaire;hospitalisation
maitrisée : honoraires médicaux, chirurgicaux, obstétricaux y;hospitalisation
compris anesthésie(1) 130% BR + TM 180% BR + TM 230% BR + TM 330% BR + TM;hospitalisation
Médecins n'ayant pas adhéré à un dispositif de pratique tarifaire;hospitalisation
maitrisée : honoraires médicaux, chirurgicaux, obstétricaux y;hospitalisation
compris anesthésie(1) 100% BR + TM 180% BR + TM 230% BR + TM 330% BR + TM;hospitalisation
Participation forfaitaire pour les actes techniques médicaux lourds100% FR 100% FR 100% FR 100% FR;hospitalisation
Forfait Journalier Hospitalier;hospitalisation
Forfait hospitalier (2) 100% FR 100% FR 100% FR 100% FR;hospitalisation
Etablissements conventionnés;hospitalisation
Frais de séjour secteur conventionné 100% FR 100% FR 100% FR 100% FR;hospitalisation
Chambre particulière par jour secteur conventionné 4% PMSS 6% PMSS 8% PMSS 10% PMSS;hospitalisation
Etablissements non conventionnés;hospitalisation
Frais de séjour secteur non conventionné 200% BR 250% BR 300% BR 400% BR;hospitalisation
Chambre particulière par jour secteur non conventionné 1,50% PMSS 3,50% PMSS 4,50% PMSS 4,50% PMSS;hospitalisation
Divers;hospitalisation
Frais d’accompagnant par jour (3) 1,50% PMSS 3.5% PMSS 4.5% PMSS 4.5% PMSS;hospitalisation
Transport du malade 85% BR 135% BR 185% BR 285% BR;hospitalisation
Forfait Naissance;hospitalisation
Maternité 15% PMSS 15% PMSS 15% PMSS 15% PMSS;hospitalisation
 ;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
4/11Soins courants Socle Renfort 1 Renfort 2 Renfort 3;soins courants
Honoraires Médicaux;soins courants
Médecins ayant adhéré à un dispositif de pratique tarifaire;soins courants
maitrisée : consultations, visites généralistes(1) 170% BR + TM 220% BR + TM 270% BR + TM 370% BR + TM;soins courants
Médecins ayant adhéré à un dispositif de pratique tarifaire;soins courants
maitrisée : consultations, visites spécialistes(1) 170% BR + TM 220% BR + TM 270% BR + TM 370% BR + TM;soins courants
Médecins ayant adhéré à un dispositif de pratique tarifaire;soins courants
maitrisée : actes de chirurgie en cabinet médical et actes;soins courants
techniques médicaux(1) 170% BR + TM 220% BR + TM 270% BR + TM 370% BR + TM;soins courants
Médecins ayant adhéré à un dispositif de pratique tarifaire;soins courants
maitrisée : radiologie(1) 170% BR + TM 220% BR + TM 270% BR + TM 370% BR + TM;soins courants
Médecins n'ayant pas adhéré à un dispositif de pratique tarifaire;soins courants
maitrisée : consultations, visites généralistes conventionnés ou non;soins courants
conventionnés(1) 100% BR + TM 220% BR + TM 270% BR + TM 370% BR + TM;soins courants
Médecins n'ayant pas adhéré à un dispositif de pratique tarifaire;soins courants
maitrisée : consultations, visites spécialistes conventionnés ou non;soins courants
conventionnés(1) 100% BR + TM 220% BR + TM 270% BR + TM 370% BR + TM;soins courants
Médecins n'ayant pas adhéré à un dispositif de pratique tarifaire;soins courants
maitrisée : actes de chirurgie en cabinet médical et actes;soins courants
techniques médicaux(1) 100% BR + TM 220% BR + TM 270% BR + TM 370% BR + TM;soins courants
Médecins n'ayant pas adhéré à un dispositif de pratique tarifaire;soins courants
maitrisée : radiologie(1) 100% BR + TM 220% BR + TM 270% BR + TM 370% BR + TM;soins courants
Analyses et examens de laboratoires;soins courants
Analyses 300% BR 350% BR 400% BR 500% BR;soins courants
Honoraires paramédicaux;soins courants
Auxiliaires médicaux 300% BR 350% BR 400% BR 500% BR;soins courants
Médicaments;soins courants
Médicaments pris en charge par la sécurité sociale TM TM TM TM;soins courants
Matériel Médical;soins courants
Prothèse médicale, appareillage (hors optique et auditif) 300% BR 350% BR 400% BR 500% BR;soins courants
Divers;soins courants
Cures thermales prises en charge par la sécurité sociale, par an et;soins courants
par bénéficiaire15% PMSS 17% PMSS 19% PMSS 21% PMSS;soins courants
 ;Null
Aides Auditives Socle Renfort 1 Renfort 2 Renfort 3;aides auditives
Equipements 100% Santé *;aides auditives
Equipement de classe I (Remboursement maximum dans la limite;aides auditives
d’un équipement par oreille par période de 4 ans - y compris;aides auditives
entretien annuel)100% FR dans la;aides auditives
limite du PLV100% FR dans la;aides auditives
limite du PLV100% FR dans la;aides auditives
limite du PLV100% FR dans la;aides auditives
limite du PLV;aides auditives
Equipements de classe II ***;aides auditives
Prothèse auditive (Remboursement maximum par oreille et dans la;aides auditives
limite d’un équipement par oreille par période de 4 ans - y compris;aides auditives
entretien annuel)(4) 14% PMSS + TM 16% PMSS + TM 18% PMSS + TM 20% PMSS + TM;aides auditives
Bonus Santéclair par prothèse auditive (dans la limite du contrat;aides auditives
responsable)6% PMSS + TM 6% PMSS + TM 6% PMSS + TM 6% PMSS + TM;aides auditives
 ;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
5/11Optique Socle Renfort 1 Renfort 2 Renfort 3;optique
Equipements 100% Santé *;optique
Equipement classe A100% FR dans la;optique
limite du PLV100% FR dans la;optique
limite du PLV100% FR dans la;optique
limite du PLV100% FR dans la;optique
limite du PLV;optique
Equipements de classe B ou mixtes **;optique
Monture + 2 verres simples 400 € FORFAIT 430 € FORFAIT 430 € FORFAIT 430 € FORFAIT;optique
Monture + 2 verres complexes 650 € FORFAIT 700 € FORFAIT 710 € FORFAIT 710 € FORFAIT;optique
Monture + 2 verres très complexes 720 € FORFAIT 770 € FORFAIT 810 € FORFAIT 810 € FORFAIT;optique
Bonus santéclair sur les verres, Dans la limite du plafond du contrat;optique
Responsable, sur le niveau socle20 € FORFAIT 80 € FORFAIT 80 € FORFAIT 80 € FORFAIT;optique
Autres;optique
Lentilles (y compris jetables) prises en charge ou non par la;optique
sécurité sociale par an par bénéficiaire + produits(5) 10% PMSS 12% PMSS 14% PMSS 16% PMSS;optique
Chirurgie réfractive sans limite d'âge et implant oculaire, par oeil et;optique
par an.20% PMSS 21% PMSS 21% PMSS 21% PMSS;optique
Prestation d'adaptation (6)100% FR dans la;optique
limite du PLV100% FR dans la;optique
limite du PLV100% FR dans la;optique
limite du PLV100% FR dans la;optique
limite du PLV;optique
 ;Null
Dentaire Socle Renfort 1 Renfort 2 Renfort 3;dentaire
Soins et Prothèses 100% Santé *;dentaire
Equipement 100% santé100% FR dans la;dentaire
limite des HLF100% FR dans la;dentaire
limite des HLF100% FR dans la;dentaire
limite des HLF100% FR dans la;dentaire
limite des HLF;dentaire
Soins;dentaire
Soins, inlay / onlay 300% BR 350% BR 400% BR 500% BR;dentaire
Prothèses;dentaire
Prothèses dentaires (couronne et inter de bridge) prises en charge;dentaire
par la sécurité sociale - dents du sourire : (incisives, canines,;dentaire
pré-molaires)280% BR 330% BR 380% BR 480% BR;dentaire
Prothèses dentaires (couronne et inter de bridge) prises en charge;dentaire
par la sécurité sociale - autres dents230% BR 280% BR 330% BR 430% BR;dentaire
Autres actes de prothèse dentaire pris en charge par la sécurité;dentaire
sociale300% BR 350% BR 400% BR 500% BR;dentaire
Bonus santéclair sur prothèses dentaires prises en charge par la;dentaire
sécurité sociale75% BR 75% BR 75% BR 75% BR;dentaire
Traitement d'orthodontie;dentaire
Orthodontie acceptée par la sécurité sociale 270% BR 320% BR 370% BR 470% BR;dentaire
Orthodontie refusée par la sécurité sociale, par an et par;dentaire
bénéficiaire12% PMSS 14% PMSS 16% PMSS 18% PMSS;dentaire
Autres;dentaire
Implantologie (pilier + implant), par an et par bénéficiaire 16% PMSS 18% PMSS 20% PMSS 22% PMSS;dentaire
Dents et couronnes provisoires non prises en charge par la sécurité;dentaire
sociale, par an et par bénéficiaire5% PMSS 6% PMSS 6% PMSS 6% PMSS;dentaire
Parodontologie/parodontie, par an et par bénéficiaire 14% PMSS 16% PMSS 18% PMSS 20% PMSS;dentaire
 ;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
6/11Médecine douce / Prévention Socle Renfort 1 Renfort 2 Renfort 3;medecine douce
Vaccins prescrits non remboursés par la sécurité sociale 100% FR 100% FR 100% FR 100% FR;medecine douce
Chiropractie, ostéopathie, acupuncture, homéopathie, étiopathie -;medecine douce
diététiciens - psychologue, psychomotricité, ergothérapie,;medecine douce
pédicure-podologie, microkinésithérapie, la méthode mézière,;medecine douce
phytothérapie, psychothérapie, la réflexologie et la sophrologie, par;medecine douce
an et par bénéficiaire100 € FORFAIT 150 € FORFAIT 200 € FORFAIT 250 € FORFAIT;medecine douce
Médicaments prescrits, y compris le sevrage tabagique,;medecine douce
contraception féminine, anneaux et patchs contraceptifs, non;medecine douce
remboursés par la sécurité sociale, par an et par bénéficiaire100 € FORFAIT 150 € FORFAIT 200 € FORFAIT 250 € FORFAIT;medecine douce
Analyses, examens et radiologie prescrits non remboursés par la;medecine douce
sécurité sociale, par an et par bénéficiaire100 € FORFAIT 150 € FORFAIT 200 € FORFAIT 250 € FORFAIT;medecine douce
Les actes de prévention prévus dans la liste fixée par arrêté du 8;medecine douce
juin 2006 sont pris en charge au titre des postes dont ils relèvent et;medecine douce
au minimum à 100% du ticket modérateur.Tous les actes Tous les actes Tous les actes Tous les actes;medecine douce
 ;Null
Fonds Social/ Spécificités CCN Socle Renfort 1 Renfort 2 Renfort 3;fonds social
Par derogation aux dispositions de l'article 13.2 prévues dans la;fonds social
notice d'information, la durée de maintien des garanties est celle;fonds social
prévue dans l'accord de branche dont dépend l'entreprise.Inclus Inclus Inclus Inclus;fonds social
Action sociale de la branche - solidarité - prévention santé :;fonds social
financement au fonds social de 2% de la cotisation totaleInclus Inclus Inclus Inclus;fonds social
 ;Null
Services Socle Renfort 1 Renfort 2 Renfort 3;service
Tiers payant étendu Inclus Inclus Inclus Inclus;service
Services associés à la plate forme santé Inclus Inclus Inclus Inclus;service
Assistance Inclus Inclus Inclus Inclus;service
Espace client Inclus Inclus Inclus Inclus;service
 ;Null
(1) Dispositif de pratique tarifaire maitrisée : Désigne les mécanismes de maîtrise des dépenses médicales prévus par les conventions nationales médicales;Null
mentionnées à l'article L.162-5 du Code de la Sécurité sociale. Sont notamment visés les contrats d'accès aux soins (CAS), les Options Pratiques TArifaires;Null
Maitrisées (OPTAM et OPTAMCO).;Null
(2) Le forfait hospitalisation est versé sans limitation de durée.;Null
(3) Sont pris en charge au titre de cette garantie, le lit d’accompagnant et les repas pris au sein de l’hôpital ou de la clinique.;Null
(4) Le TM est remboursé au-delà du forfait.;Null
(5) TM au delà du forfait pour les lentilles prises en charge par la Sécurité Sociale.;Null
(6) Cette prestation concerne la prescription médicale de verre correcteur, après réalisation d’un examen de la réfraction, en cas de renouvellement par;Null
l’opticien d’une ordonnance. La prestation peut être valorisée à un prix maximal de 10 €.;Null
Le niveau de garantie indiqué pour les Renforts Santé accessibles inclut le niveau de garantie du Socle Santé.;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
7/11(*) tels que définis réglementairement dans la limite: des honoraires limites de facturation (HLF) en dentaire et des prix limites de vente (PLV) en optique et;Null
pour les aides auditives. A compter du 01/01/2020 en optique et dentaire (sauf prothèses amovibles) et du 01/01/2021 en auditif et dentaire (prothèses;Null
amovibles);Null
(**) Les remboursements en optique sont en fonction du défaut de vision. Ceux-ci sont classés de la façon suivante :;Null
"Verre de ""correction simple"" :";Null
"– par équipement à verres unifocaux sphériques dont la sphère est comprise entre – 6,00 et + 6,00 dioptries;";Null
– par équipement à verre unifocaux sphéro-cylindriques dont la sphère est comprise entre – 6,00 et 0 dioptries et dont le cylindre est inférieur ou égal à + 4,00;Null
"dioptries;";Null
– par équipement à verre unifocaux sphéro-cylindriques dont la sphère est positive et dont la somme S (sphère + cylindre) est inférieure ou égale à 6,00;Null
"dioptries;";Null
"Verre de ""correction complexe"" :";Null
"– par équipement à verres unifocaux sphériques dont la sphère est hors zone de – 6,00 à + 6,00 dioptries;";Null
– par équipement à verre unifocaux sphéro-cylindriques dont la sphère est comprise entre – 6,00 et 0 dioptries et dont le cylindre est supérieur à + 4,00;Null
"dioptries;";Null
"– par équipement à verre unifocaux sphéro-cylindriques dont la sphère est inférieure à – 6,00 dioptries et dont le cylindre est supérieur ou égal à 0,25 dioptrie;";Null
"– par équipement à verre unifocaux sphéro-cylindriques dont la sphère est positive et dont la somme S est supérieure à 6,00 dioptries;";Null
"– par équipement à verres multifocaux ou progressifs sphériques dont la sphère est comprise entre – 4,00 et + 4,00 dioptries;";Null
– par équipement à verres multifocaux ou progressifs sphéro-cylindriques dont la sphère est comprise entre – 8,00 et 0,00 dioptries et dont le cylindre est;Null
"inférieur ou égal à + 4,00 dioptries;";Null
– par équipement à verres multifocaux ou progressifs sphéro-cylindriques dont la sphère est positive et dont la somme S est inférieure ou égale à 8,00;Null
"dioptries;";Null
"Verre de ""correction très complexe"" :";Null
"– par équipement à verres multifocaux ou progressifs sphériques dont la sphère est hors zone de – 4,00 à + 4,00 dioptries;";Null
– par équipement à verres multifocaux ou progressifs sphéro-cylindriques dont la sphère est comprise entre – 8,00 et 0 dioptries et dont le cylindre est;Null
"supérieur à + 4,00 dioptries;";Null
– par équipement à verres multifocaux ou progressifs sphéro-cylindriques dont la sphère est inférieure à – 8,00 dioptries et dont le cylindre est supérieur ou;Null
"égal à 0,25 dioptrie;";Null
– par équipement à verres multifocaux ou progressifs sphéro-cylindriques dont la sphère est positive et dont la somme S est supérieure à 8,00 dioptries.;Null
Pour les équipements mixtes :;Null
– Si les 2 verres sont en classe A et la monture en classe B : les verres sont pris en charge intégralement dans la limite des PLV, la monture est prise en charge à;Null
hauteur de la différence entre le forfait prévu au barème et le montant remboursé au titre des verres, avec au minimum le TM (0,02 € au 1er janvier 2020) et;Null
dans la limite de 100 €.;Null
– Si les 2 verres sont en classe B et la monture en classe A : la monture est prise en charge intégralement dans la limite du PLV (30 € maximum au 1er janvier;Null
2020), les verres sont pris en charge à hauteur de la différence entre le forfait prévu au barème et le montant remboursé au titre de la monture.;Null
Pour un équipement intégralement en classe B, le forfait prévu au barème s'applique dont un plafond de remboursement pour la monture à 100 €.;Null
La garantie optique s’applique, dans la limite d’un équipement (verres + montures) par période de 2 ans (sauf en cas de changement de défaut de vision ou;Null
pour les enfants de moins de 16 ans).;Null
(***) Le remboursement maximum des aides auditives de classe II est plafonné à 1700 € par équipement (oreille) y compris remboursement de la Sécurité;Null
sociale.;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
8/11Votre cotisation;Null
Votre taux de cotisation annuel (en % du plafond annuel de la sécurité sociale1);Null
- 3,44% par Isolé*, soit 126,11 € par mois en 2023;Null
- 9,79% par Non Isolé**, soit 358,90 € par mois en 2023;Null
(*) Par Isolé, on entend tout Assuré n'ayant pas de membre de sa famille, bénéficiaire des garanties.;Null
(**) Par Non Isolé, on entend tout Assuré ayant au moins un membre de sa famille, bénéficiaire(s) des garanties.;Null
Les taux ci-dessus sont valables jusqu’à la date d’effet souhaitée : 11/06/2023.;Null
Le taux de cotisation est indexé chaque année en fonction de l’évolution annuelle de la consommation de soins et biens médicaux à la charge des ménages et;Null
des organismes d’assurances complémentaires.;Null
Le contrat Socle Santé est un contrat d’assurance de groupe souscrit auprès d’Allianz Vie par l’association « ADPS » au profit des adhérents moyennant une;Null
cotisation annuelle statutaire dont le montant est indiqué ci-après : 9 euros.;Null
1Plafond annuel de la Sécurité sociale pour 2023 : 43992 euros.;Null
Conformément à l'article L.871-1 du code de la Sécurité sociale, Allianz vous communique le ratio entre le montant total des frais de vos garanties d'assurance;Null
santé et le montant des cotisations.;Null
En 2021, le ratio entre le montant total des frais de vos garanties d’assurance santé et le montant des cotisations est de 23,83 %;Null
Le ratio entre le montant total des frais de gestion au titre du remboursement et de l’indemnisation des frais occasionnés par une maladie, une maternité ou un;Null
accident et le montant des cotisations ou primes afférentes à ces garanties représente la part des cotisations ou primes collectées, hors taxes, par l’organisme;Null
assureur au titre de l’ensemble des garanties couvrant le remboursement ou l’indemnisation des frais précités, qui est utilisée pour le financement des frais de;Null
gestion.;Null
Ces frais de gestion recouvrent l’ensemble des sommes engagées pour concevoir les contrats, les commercialiser (dont le réseau commercial, le marketing, les;Null
commissions des intermédiaires), les souscrire (dont l’encaissement des cotisations, la gestion des résiliations, le suivi comptable et juridique) et les gérer (dont;Null
le remboursement, la gestion du tiers payant, l’information client, l’assistance, les services, les prestations complémentaires), c’est-à-dire accomplir toutes les;Null
tâches incombant à l’organisme assureur dans le respect des garanties contractuelles.;Null
A propos du contrat Renforts Santé;Null
Chacun de vos salariés à la possibilité de compléter ses garanties suivant ses besoins en adhérant, à titre personnel au contrat Renforts Santé, pour lui même et;Null
ses ayants droit. Ce complément peut aller jusqu’à 3 niveaux au dessus de celui choisi en socle par l’entreprise. Dans ce cas, le salarié règle lui même les;Null
cotisations liées au contrat Renforts Santé.;Null
L’adhésion au contrat Renforts Santé sera proposée à chacun de vos salariés.;Null
Pour information, les garanties pouvant être choisies en renfort par un salarié sont décrites dans le tableau page 4 de la présente étude tarifaire.;Null
Pour information, voici la tarification proposée pour chaque renfort pour vos salariés exprimée en pourcentage du plafond annuel de la Sécurité sociale lorsque;Null
le salarié est seul bénéficiaire du contrat.;Null
Les taux ci-dessous sont valables pour une adhésion jusqu’au 31 décembre 2023.;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
9/11Pour information, voici la tarification proposée pour chaque renfort pour vos salariés exprimée en pourcentage du plafond annuel de la Sécurité sociale1 .;Null
Hospitalisation (y compris Maternité) Renfort 1 Renfort 2 Renfort 3;hospitalisation
Tarif Isolé : 0,39% soit 14,30 €/mois;hospitalisation
Tarif Non isolé : 0,96% soit 35,19 €/moisTarif Isolé : 0,69% soit 25,30 €/mois;hospitalisation
Tarif Non isolé : 1,56% soit 57,19 €/moisTarif Isolé : 1,12% soit 41,06 €/mois;hospitalisation
Tarif Non isolé : 2,43% soit 89,08 €/mois;hospitalisation
Soins courants - Prothèses Auditives Renfort 1 Renfort 2 Renfort 3;soins courants
Tarif Isolé : 0,43% soit 15,76 €/mois;soins courants
Tarif Non isolé : 1,33% soit 48,76 €/moisTarif Isolé : 0,60% soit 22 €/mois;soins courants
Tarif Non isolé : 1,85% soit 67,82 €/moisTarif Isolé : 0,96% soit 35,19 €/mois;soins courants
Tarif Non isolé : 3,08% soit 112,91 €/mois;soins courants
Optique Renfort 1 Renfort 2 Renfort 3;optique
Tarif Isolé : 0,38% soit 13,93 €/mois;optique
Tarif Non isolé : 0,91% soit 33,36 €/moisTarif Isolé : 0,38% soit 13,93 €/mois;optique
Tarif Non isolé : 0,91% soit 33,36 €/moisTarif Isolé : 0,37% soit 13,56 €/mois;optique
Tarif Non isolé : 0,91% soit 33,36 €/mois;optique
Dentaire Renfort 1 Renfort 2 Renfort 3;dentaire
Tarif Isolé : 0,44% soit 16,13 €/mois;dentaire
Tarif Non isolé : 1,29% soit 47,29 €/moisTarif Isolé : 0,77% soit 28,23 €/mois;dentaire
Tarif Non isolé : 2,04% soit 74,79 €/moisTarif Isolé : 1,62% soit 59,39 €/mois;dentaire
Tarif Non isolé : 3,68% soit 134,91 €/mois;dentaire
Médecine douce / Prévention Renfort 1 Renfort 2 Renfort 3;medecine douce
Tarif Isolé : 0,11% soit 4,03 €/mois;medecine douce
Tarif Non isolé : 0,36% soit 13,20 €/moisTarif Isolé : 0,17% soit 6,23 €/mois;medecine douce
Tarif Non isolé : 0,56% soit 20,53 €/moisTarif Isolé : 0,23% soit 8,43 €/mois;medecine douce
Tarif Non isolé : 0,74% soit 27,13 €/mois;medecine douce
1Plafond annuel de la Sécurité sociale pour 2023 : 43992 euros.;Null
Par Isolé, on entend tout Assuré n'ayant pas de membre de sa famille, bénéficiaire des garanties.;Null
Par Non Isolé, on entend tout Assuré ayant au moins un membre de sa famille, bénéficiaire(s) des garanties.;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
10/11Informations importantes;Null
La protection de vos données personnelles :;Null
Nous recueillons vos données personnelles et les utilisons pour la gestion de cette demande et pour notre relation commerciale. Elles sont destinées;Null
prioritairement aux entreprises du Groupe Allianz et à votre courtier, mais également aux différents organismes et partenaires en lien avec les entreprises du;Null
Groupe Allianz. Ces destinataires se situent parfois en dehors de l’Union Européenne. Dans ce cas, nous concevons des garanties spécifiques pour assurer la;Null
protection complète de vos données.;Null
Vos informations personnelles nous aident à mieux vous connaître, et ainsi à vous proposer des solutions et services qui vous correspondent. Nous les;Null
conservons tout au long de la vie de votre contrat. Une fois ce dernier fermé, elles sont conservées pendant le délai de prescription.;Null
Vous gardez bien sûr tout loisir d’y accéder, de demander leur modification, rectification, portabilité ou effacement et de vous opposer à leur utilisation. Vous;Null
"pouvez également prendre contact avec le responsable des données personnelles pour toute information ou contestation (loi ""Informatique et Libertés"" du 6";Null
janvier 1978). Pour cela, il vous suffit d’adresser une demande écrite à votre courtier.;Null
Vous pouvez également vous adresser à la CNIL.;Null
J’accepte de recevoir les offres commerciales personnalisées distribuées par mon courtier «   Oui » «   Non »;Null
